gene,Position,Gene synonym,Ensembl,Gene description
ACTRT3,chr3:169766921-169769561,ARPM1,ENSG00000184378,Actin related protein T3
ACVR1,chr2:157736251-157876330,"ACVR1A, ACVRLK2, ALK2, SKR1",ENSG00000115170,Activin A receptor type 1
ACVR1B,chr12:51951699-51997078,"ActRIB, ACVRLK4, ALK4, SKR2",ENSG00000135503,Activin A receptor type 1B
ACVR1C,chr2:157526767-157628864,"ACVRLK7, ALK7",ENSG00000123612,Activin A receptor type 1C
ACVR2A,chr2:147844517-147930826,"ACTRII, ACVR2",ENSG00000121989,Activin A receptor type 2A
ACVR2B,chr3:38453890-38493142,ActR-IIB,ENSG00000114739,Activin A receptor type 2B
ACVRL1,chr12:51906908-51923361,"ACVRLK1, ALK1, HHT, HHT2, ORW2",ENSG00000139567,Activin A receptor like type 1
ACY1,chr3:51983340-51989197,NA,ENSG00000243989,Aminoacylase 1
ACY3,chr11:67642555-67650730,"ACY-3, HCBP1, MGC9740",ENSG00000132744,Aminoacylase 3
ACYP1,chr14:75053237-75069483,NA,ENSG00000119640,Acylphosphatase 1
ACYP2,chr2:53970838-54305300,NA,ENSG00000170634,Acylphosphatase 2
ADA,chr20:44584896-44652252,ADA1,ENSG00000196839,Adenosine deaminase
ADA2,chr22:17178790-17258235,"ADGF, CECR1, IDGFL",ENSG00000093072,Adenosine deaminase 2
ADAD1,chr4:122378966-122429802,Tenr,ENSG00000164113,Adenosine deaminase domain containing 1
ADAD2,chr16:84191138-84197168,"FLJ00337, TENRL",ENSG00000140955,Adenosine deaminase domain containing 2
ADAL,chr15:43330672-43354569,NA,ENSG00000168803,Adenosine deaminase like
ADAM10,chr15:58588809-58749791,"CD156C, HsT18717, kuz, MADM",ENSG00000137845,ADAM metallopeptidase domain 10
ADAM11,chr17:44758988-44781846,MDC,ENSG00000073670,ADAM metallopeptidase domain 11
ADAM12,chr10:126012381-126388477,"MCMPMltna, MLTN",ENSG00000148848,ADAM metallopeptidase domain 12
ADAM15,chr1:155050566-155062775,MDC15,ENSG00000143537,ADAM metallopeptidase domain 15
ADAM17,chr2:9488486-9556732,"CD156B, cSVP, TACE",ENSG00000151694,ADAM metallopeptidase domain 17
ADAM18,chr8:39584489-39730065,"ADAM27, tMDCIII",ENSG00000168619,ADAM metallopeptidase domain 18
ADAM19,chr5:157395534-157575775,MLTNB,ENSG00000135074,ADAM metallopeptidase domain 19
ADAM2,chr8:39743735-39838227,"CT15, FTNB, PH-30b, PH30",ENSG00000104755,ADAM metallopeptidase domain 2
ADAM20,chr14:70522358-70535015,NA,ENSG00000134007,ADAM metallopeptidase domain 20
ADAM21,chr14:70417107-70460427,ADAM31,ENSG00000139985,ADAM metallopeptidase domain 21
ADAM22,chr7:87934143-88202889,MDC2,ENSG00000008277,ADAM metallopeptidase domain 22
ADAM23,chr2:206443532-206621127,MDC3,ENSG00000114948,ADAM metallopeptidase domain 23
ADAM28,chr8:24294069-24359014,"ADAM23, eMDCII, MDC-Lm, MDC-Ls",ENSG00000042980,ADAM metallopeptidase domain 28
ADAM29,chr4:174829668-174978180,"CT73, svph1",ENSG00000168594,ADAM metallopeptidase domain 29
ADAM30,chr1:119893533-119896515,svph4,ENSG00000134249,ADAM metallopeptidase domain 30
ADAM32,chr8:39106990-39284917,NA,ENSG00000197140,ADAM metallopeptidase domain 32
ADAM33,chr20:3667965-3682246,"C20orf153, dJ964F7.1, DKFZp434K0521",ENSG00000149451,ADAM metallopeptidase domain 33
ADAM7,chr8:24440930-24526970,"EAPI, GP-83",ENSG00000069206,ADAM metallopeptidase domain 7
ADAM8,chr10:133262420-133276868,"CD156, CD156A, MS2",ENSG00000151651,ADAM metallopeptidase domain 8
ADAM9,chr8:38996754-39105445,"CORD9, KIAA0021, MCMP, MDC9, Mltng",ENSG00000168615,ADAM metallopeptidase domain 9
ADAMDEC1,chr8:24384285-24406013,M12.219,ENSG00000134028,ADAM like decysin 1
ADAMTS1,chr21:26835755-26845409,"C3-C5, KIAA1346, METH1",ENSG00000154734,ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS10,chr19:8580240-8610735,ADAM-TS10,ENSG00000142303,ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS12,chr5:33523535-33892019,NA,ENSG00000151388,ADAM metallopeptidase with thrombospondin type 1 motif 12
ADAMTS13,chr9:133414358-133459402,"C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP",ENSG00000160323,ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS14,chr10:70672506-70762441,NA,ENSG00000138316,ADAM metallopeptidase with thrombospondin type 1 motif 14
ADAMTS15,chr11:130448645-130476645,NA,ENSG00000166106,ADAM metallopeptidase with thrombospondin type 1 motif 15
ADAMTS16,chr5:5140330-5320304,ADAMTS16s,ENSG00000145536,ADAM metallopeptidase with thrombospondin type 1 motif 16
ADAMTS17,chr15:99971437-100342005,"FLJ16363, FLJ32769",ENSG00000140470,ADAM metallopeptidase with thrombospondin type 1 motif 17
ADAMTS18,chr16:77247813-77435034,ADAMTS21,ENSG00000140873,ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS19,chr5:129460281-129738683,NA,ENSG00000145808,ADAM metallopeptidase with thrombospondin type 1 motif 19
ADAMTS2,chr5:179110853-179345461,"ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP",ENSG00000087116,ADAM metallopeptidase with thrombospondin type 1 motif 2
ADAMTS20,chr12:43353866-43552203,GON-1,ENSG00000173157,ADAM metallopeptidase with thrombospondin type 1 motif 20
ADAMTS3,chr4:72280969-72569221,"ADAMTS-4, KIAA0366",ENSG00000156140,ADAM metallopeptidase with thrombospondin type 1 motif 3
ADAMTS4,chr1:161184302-161199054,"ADAMTS-2, ADMP-1, KIAA0688",ENSG00000158859,ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5,chr21:26917922-26967088,"ADAMTS11, ADMP-2",ENSG00000154736,ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS6,chr5:65148738-65481920,ADAM-TS6,ENSG00000049192,ADAM metallopeptidase with thrombospondin type 1 motif 6
ADAMTS7,chr15:78759206-78811464,"ADAM-TS7, DKFZp434H204",ENSG00000136378,ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTS8,chr11:130404923-130428609,"ADAM-TS8, FLJ41712, METH2",ENSG00000134917,ADAM metallopeptidase with thrombospondin type 1 motif 8
ADAMTS9,chr3:64515654-64688000,KIAA1312,ENSG00000163638,ADAM metallopeptidase with thrombospondin type 1 motif 9
ADAMTSL1,chr9:17906563-18910950,"ADAMTSR1, C9orf94, FLJ35283",ENSG00000178031,ADAMTS like 1
ADAMTSL2,chr9:133532164-133575519,KIAA0605,ENSG00000197859,ADAMTS like 2
ADAMTSL3,chr15:83654088-84039842,"KIAA1233, punctin-2",ENSG00000156218,ADAMTS like 3
ADAMTSL4,chr1:150549369-150560937,"DKFZP434K1772, TSRC1",ENSG00000143382,ADAMTS like 4
ADAMTSL5,chr19:1505022-1513604,THSD6,ENSG00000185761,ADAMTS like 5
ADAP1,chr7:897900-955407,"CENTA1, GCS1L",ENSG00000105963,ArfGAP with dual PH domains 1
ADAP2,chr17:30906344-30959322,CENTA2,ENSG00000184060,ArfGAP with dual PH domains 2
ADAR,chr1:154581695-154628013,"ADAR1, DRADA, G1P1, IFI4",ENSG00000160710,Adenosine deaminase RNA specific
ADARB1,chr21:45073853-45226560,"ADAR2, ADAR2a, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2b, ADAR2c, ADAR2d, ADAR2g, DRABA2, DRADA2, hRED1, RED1",ENSG00000197381,Adenosine deaminase RNA specific B1
ADARB2,chr10:1177313-1737525,"ADAR3, hRED2, RED2",ENSG00000185736,Adenosine deaminase RNA specific B2 (inactive)
ADAT1,chr16:75596868-75623300,NA,ENSG00000065457,Adenosine deaminase tRNA specific 1
ADAT2,chr6:143422832-143450695,"DEADC1, dJ20N2.1, TAD2",ENSG00000189007,Adenosine deaminase tRNA specific 2
ADAT3,chr19:1905399-1913447,TAD3,ENSG00000213638,Adenosine deaminase tRNA specific 3
ADCK1,chr14:77800109-77935014,FLJ39600,ENSG00000063761,AarF domain containing kinase 1
ADCK2,chr7:140672945-140696261,MGC20727,ENSG00000133597,AarF domain containing kinase 2
ADCK5,chr8:144373101-144393242,FLJ35454,ENSG00000173137,AarF domain containing kinase 5
ADCY1,chr7:45574140-45723116,"AC1, DFNB44",ENSG00000164742,Adenylate cyclase 1
ADCY10,chr1:167809386-167914215,"HCA2, RP1-313L4.2, SAC, SACI, Sacy",ENSG00000143199,Adenylate cyclase 10
ADCY2,chr5:7396138-7830081,"AC2, HBAC2, KIAA1060",ENSG00000078295,Adenylate cyclase 2
ADCY3,chr2:24819169-24920237,AC3,ENSG00000138031,Adenylate cyclase 3
ADCY4,chr14:24318349-24335093,AC4,ENSG00000129467,Adenylate cyclase 4
ADCY5,chr3:123282296-123449090,AC5,ENSG00000173175,Adenylate cyclase 5
ADCY6,chr12:48766194-48789089,AC6,ENSG00000174233,Adenylate cyclase 6
ADCY7,chr16:50246137-50318135,"AC7, KIAA0037",ENSG00000121281,Adenylate cyclase 7
ADCY8,chr8:130780301-131040909,"AC8, ADCY3, HBAC1",ENSG00000155897,Adenylate cyclase 8
ADCY9,chr16:3953387-4116442,AC9,ENSG00000162104,Adenylate cyclase 9
ADCYAP1,chr18:904871-912172,PACAP,ENSG00000141433,Adenylate cyclase activating polypeptide 1
ADCYAP1R1,chr7:31052308-31111474,"PAC1, PAC1R, PACAPR",ENSG00000078549,ADCYAP receptor type I
ADD1,chr4:2843844-2930076,NA,ENSG00000087274,Adducin 1
ADD2,chr2:70607618-70768225,ADDB,ENSG00000075340,Adducin 2
ADD3,chr10:109996368-110135565,ADDL,ENSG00000148700,Adducin 3
ADGB,chr6:146598967-146815462,"C6orf103, CAPN16, dJ408K24.1, FLJ23121",ENSG00000118492,Androglobin
ADGRA1,chr10:133087924-133131675,"GPR123, KIAA1828",ENSG00000197177,Adhesion G protein-coupled receptor A1
ADGRA2,chr8:37784191-37844896,"DKFZp434C211, DKFZp434J0911, FLJ14390, GPR124, KIAA1531, TEM5",ENSG00000020181,Adhesion G protein-coupled receptor A2
ADGRA3,chr4:22345071-22516066,"FLJ38547, GPR125, PGR21",ENSG00000152990,Adhesion G protein-coupled receptor A3
ADGRB1,chr8:142449430-142545009,BAI1,ENSG00000181790,Adhesion G protein-coupled receptor B1
ADGRB2,chr1:31727117-31764893,BAI2,ENSG00000121753,Adhesion G protein-coupled receptor B2
ADGRB3,chr6:68635282-69390571,"BAI3, KIAA0550",ENSG00000135298,Adhesion G protein-coupled receptor B3
ADGRD1,chr12:130953907-131141469,"DKFZp434B1272, GPR133, PGR25",ENSG00000111452,Adhesion G protein-coupled receptor D1
ADGRD2,chr9:124450451-124478589,"GPR144, PGR24",ENSG00000180264,Adhesion G protein-coupled receptor D2
ADGRE1,chr19:6887566-6940459,"EMR1, TM7LN3",ENSG00000174837,Adhesion G protein-coupled receptor E1
ADGRE2,chr19:14732392-14778560,"CD312, EMR2",ENSG00000127507,Adhesion G protein-coupled receptor E2
ADGRE3,chr19:14619117-14690027,EMR3,ENSG00000131355,Adhesion G protein-coupled receptor E3
ADGRE5,chr19:14380501-14408725,"CD97, TM7LN1",ENSG00000123146,Adhesion G protein-coupled receptor E5
ADGRF1,chr6:46997708-47042350,"GPR110, hGPCR36, PGR19",ENSG00000153292,Adhesion G protein-coupled receptor F1
ADGRF3,chr2:26308173-26346817,"GPR113, hGPCR37, PGR23",ENSG00000173567,Adhesion G protein-coupled receptor F3
ADGRF4,chr6:47685864-47722021,"FLJ38076, GPR115, PGR18",ENSG00000153294,Adhesion G protein-coupled receptor F4
ADGRF5,chr6:46852522-46954943,"DKFZp564O1923, GPR116, KIAA0758",ENSG00000069122,Adhesion G protein-coupled receptor F5
ADGRG1,chr16:57610652-57665580,"GPR56, TM7LN4, TM7XN1",ENSG00000205336,Adhesion G protein-coupled receptor G1
ADGRG2,chrX:18989307-19122637,"EDDM6, GPR64, HE6, TM7LN2",ENSG00000173698,Adhesion G protein-coupled receptor G2
ADGRG3,chr16:57668277-57689378,"GPR97, Pb99, PGR26",ENSG00000182885,Adhesion G protein-coupled receptor G3
ADGRG4,chrX:136300963-136416890,"GPR112, PGR17, RP1-299I16",ENSG00000156920,Adhesion G protein-coupled receptor G4
ADGRG5,chr16:57542643-57591681,"GPR114, PGR27",ENSG00000159618,Adhesion G protein-coupled receptor G5
ADGRG6,chr6:142301854-142446266,"FLJ14937, GPR126",ENSG00000112414,Adhesion G protein-coupled receptor G6
ADGRG7,chr3:100609601-100695479,"FLJ14454, GPR128",ENSG00000144820,Adhesion G protein-coupled receptor G7
ADGRL1,chr19:14147743-14206187,"CIRL1, KIAA0821, LEC2, LPHN1",ENSG00000072071,Adhesion G protein-coupled receptor L1
ADGRL2,chr1:81306147-81993932,"CIRL2, KIAA0786, LEC1, LPHH1, LPHN2",ENSG00000117114,Adhesion G protein-coupled receptor L2
ADGRL3,chr4:61200326-62078335,"KIAA0768, LEC3, LPHN3",ENSG00000150471,Adhesion G protein-coupled receptor L3
ADGRL4,chr1:78889764-79282124,"ELTD1, ETL",ENSG00000162618,Adhesion G protein-coupled receptor L4
ADGRV1,chr5:90529344-91164437,"DKFZp761P0710, FEB4, GPR98, KIAA0686, MASS1, USH2C, VLGR1",ENSG00000164199,Adhesion G protein-coupled receptor V1
ADH1A,chr4:99276369-99291003,ADH1,ENSG00000187758,"Alcohol dehydrogenase 1A (class I), alpha polypeptide"
ADH1B,chr4:99304971-99352760,ADH2,ENSG00000196616,"Alcohol dehydrogenase 1B (class I), beta polypeptide"
ADH1C,chr4:99336497-99352746,ADH3,ENSG00000248144,"Alcohol dehydrogenase 1C (class I), gamma polypeptide"
ADH4,chr4:99123657-99157792,ADH-2,ENSG00000198099,"Alcohol dehydrogenase 4 (class II), pi polypeptide"
ADH5,chr4:99070978-99088801,"ADH-3, ADHX, FDH, GSNOR",ENSG00000197894,"Alcohol dehydrogenase 5 (class III), chi polypeptide"
ADH6,chr4:99202638-99219537,ADH-5,ENSG00000172955,Alcohol dehydrogenase 6 (class V)
ADH7,chr4:99412261-99435510,ADH-4,ENSG00000196344,"Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
ADHFE1,chr8:66432492-66468907,FLJ32430,ENSG00000147576,Alcohol dehydrogenase iron containing 1
ADI1,chr2:3497366-3519531,"APL1, ARD, FLJ10913, HMFT1638, MTCBP-1, mtnD, SIPL",ENSG00000182551,Acireductone dioxygenase 1
ADIG,chr20:38581195-38588463,"MGC39724, RP5-1100H13.2, SMAF1",ENSG00000182035,Adipogenin
ADIPOQ,chr3:186842704-186858463,"ACDC, ACRP30, adiponectin, apM1, GBP28",ENSG00000181092,"Adiponectin, C1Q and collagen domain containing"
ADIPOR1,chr1:202940826-202958572,"ACDCR1, PAQR1",ENSG00000159346,Adiponectin receptor 1
ADIPOR2,chr12:1688574-1788674,"ACDCR2, PAQR2",ENSG00000006831,Adiponectin receptor 2
ADIRF,chr10:86968432-86983934,"AFRO, APM2, C10orf116",ENSG00000148671,Adipogenesis regulatory factor
ADK,chr10:74151202-74709963,AK,ENSG00000156110,Adenosine kinase
ADM,chr11:10305073-10307397,AM,ENSG00000148926,Adrenomedullin
ADM2,chr22:50481543-50486440,"AM2, FLJ21135",ENSG00000128165,Adrenomedullin 2
ADM5,chr19:49689594-49690575,"AM5, C19orf76",ENSG00000224420,Adrenomedullin 5 (putative)
ADNP,chr20:50888916-50931437,"ADNP1, KIAA0784",ENSG00000101126,Activity dependent neuroprotector homeobox
ADNP2,chr18:80109262-80147523,"KIAA0863, ZNF508",ENSG00000101544,ADNP homeobox 2
ADO,chr10:62804720-62808479,"C10orf22, FLJ14547",ENSG00000181915,2-aminoethanethiol dioxygenase
ADORA1,chr1:203090654-203167405,RDC7,ENSG00000163485,Adenosine A1 receptor
ADORA2A,chr22:24417879-24442357,"ADORA2, RDC8",ENSG00000128271,Adenosine A2a receptor
ADORA2B,chr17:15945130-15975746,NA,ENSG00000170425,Adenosine A2b receptor
ADORA3,chr1:111499429-111503633,"A3AR, AD026",ENSG00000282608,Adenosine A3 receptor
ADPGK,chr15:72751294-72785846,"ADP-GK, DKFZp434B195",ENSG00000159322,ADP dependent glucokinase
ADPRH,chr3:119579268-119589945,ARH1,ENSG00000144843,ADP-ribosylarginine hydrolase
ADPRHL1,chr13:113399611-113453488,ARH2,ENSG00000153531,ADP-ribosylhydrolase like 1
ADPRM,chr17:10697594-10711558,"C17orf48, MDS006",ENSG00000170222,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
ADPRS,chr1:36088892-36093932,"ADPRHL2, ARH3, FLJ20446",ENSG00000116863,ADP-ribosylserine hydrolase
ADRA1A,chr8:26748150-26867278,"ADRA1C, ADRA1L1",ENSG00000120907,Adrenoceptor alpha 1A
ADRA1B,chr5:159865080-159973012,NA,ENSG00000170214,Adrenoceptor alpha 1B
ADRA1D,chr20:4220630-4249287,"ADRA1, ADRA1A, ADRA1R",ENSG00000171873,Adrenoceptor alpha 1D
ADRA2A,chr10:111077029-111080907,"ADRA2, ADRA2R, ADRAR",ENSG00000150594,Adrenoceptor alpha 2A
ADRA2B,chr2:96112876-96116571,"ADRA2L1, ADRA2RL1, ADRARL1",ENSG00000274286,Adrenoceptor alpha 2B
ADRA2C,chr4:3766348-3768526,"ADRA2L2, ADRA2RL2, ADRARL2",ENSG00000184160,Adrenoceptor alpha 2C
ADRB1,chr10:114043866-114046904,ADRB1R,ENSG00000043591,Adrenoceptor beta 1
ADRB2,chr5:148826611-148828623,"ADRB2R, ADRBR, B2AR, BAR",ENSG00000169252,Adrenoceptor beta 2
ADRB3,chr8:37962990-37966599,NA,ENSG00000188778,Adrenoceptor beta 3
ADRM1,chr20:62302093-62308862,"ARM1, GP110, PSMD16, Rpn13",ENSG00000130706,ADRM1 26S proteasome ubiquitin receptor
ADSL,chr22:40346461-40390463,NA,ENSG00000239900,Adenylosuccinate lyase
ADSS1,chr14:104724229-104747325,"ADSSL1, FLJ38602",ENSG00000185100,Adenylosuccinate synthase 1
ADSS2,chr1:244408494-244451909,ADSS,ENSG00000035687,Adenylosuccinate synthase 2
ADTRP,chr6:11712054-11807046,"AIG1L, C6orf105, dJ413H6.1",ENSG00000111863,Androgen dependent TFPI regulating protein
AEBP1,chr7:44104345-44114562,ACLP,ENSG00000106624,AE binding protein 1
AEBP2,chr12:19404045-19720801,MGC17922,ENSG00000139154,AE binding protein 2
AEN,chr15:88621337-88632281,"FLJ12484, FLJ12562, ISG20L1",ENSG00000181026,Apoptosis enhancing nuclease
AFAP1,chr4:7758714-7939926,"AFAP, AFAP-110",ENSG00000196526,Actin filament associated protein 1
AFAP1L1,chr5:149271859-149343637,FLJ36748,ENSG00000157510,Actin filament associated protein 1 like 1
AFAP1L2,chr10:114294824-114404756,"Em:AC005383.4, FLJ14564, KIAA1914, XB130",ENSG00000169129,Actin filament associated protein 1 like 2
AFDN,chr6:167826893-167972023,"AF-6, AF6, MLLT4",ENSG00000130396,"Afadin, adherens junction formation factor"
AFF1,chr4:86935002-87141039,"AF-4, AF4, FEL, MLLT2, PBM1",ENSG00000172493,ALF transcription elongation factor 1
AFF2,chrX:148500617-149000663,"FMR2, FRAXE",ENSG00000155966,ALF transcription elongation factor 2
AFF3,chr2:99545419-100192428,"LAF4, MLLT2-like",ENSG00000144218,ALF transcription elongation factor 3
AFF4,chr5:132875395-132963634,"AF5Q31, MCEF",ENSG00000072364,ALF transcription elongation factor 4
AFG1L,chr6:108294991-108526796,"AFG1, LACE1",ENSG00000135537,AFG1 like ATPase
AFG3L2,chr18:12328944-12377227,"SCA28, SPAX5",ENSG00000141385,AFG3 like matrix AAA peptidase subunit 2
AFM,chr4:73481745-73504001,"ALB2, ALBA",ENSG00000079557,Afamin
AFMID,chr17:78187358-78207702,"DKFZp686F03259, KF",ENSG00000183077,Arylformamidase
AFP,chr4:73431138-73456174,"FETA, HPAFP",ENSG00000081051,Alpha fetoprotein
AFTPH,chr2:64524299-64593005,"FLJ20080, FLJ23793, MGC33965, Nbla10388",ENSG00000119844,Aftiphilin
AGA,chr4:177430774-177442437,ASRG,ENSG00000038002,Aspartylglucosaminidase
AGAP1,chr2:235494043-236131793,"CENTG2, GGAP1, KIAA1099",ENSG00000157985,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
AGAP2,chr12:57723761-57742157,CENTG1,ENSG00000135439,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
AGAP3,chr7:151085831-151144436,CENTG3,ENSG00000133612,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
AGAP4,chr10:45825594-45853875,"AGAP8, CTGLF1, CTGLF5, Em:AC012044.1, MRIP2",ENSG00000188234,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4"
AGAP5,chr10:73674287-73698109,"CTGLF2, Em:AC073389.1",ENSG00000172650,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"
AGAP6,chr10:49982190-50011654,"bA324H6.1, CTGLF3",ENSG00000204149,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"
AGAP9,chr10:47501854-47523638,"bA301J7.2, CTGLF6, FLJ00312",ENSG00000204172,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9"
AGBL1,chr15:86079871-87049169,"CCP4, FLJ32310",ENSG00000273540,AGBL carboxypeptidase 1
AGBL2,chr11:47659591-47715389,"CCP2, FLJ23598",ENSG00000165923,AGBL carboxypeptidase 2
AGBL3,chr7:134986508-135147963,"CCP3, MGC32955",ENSG00000146856,AGBL carboxypeptidase 3
AGBL4,chr1:48532854-50023954,"CCP6, FLJ14442",ENSG00000186094,AGBL carboxypeptidase 4
AGBL5,chr2:27042364-27070622,"CCP5, FLJ21839",ENSG00000084693,AGBL carboxypeptidase 5
AGER,chr6:32180968-32184322,"RAGE, SCARJ1, sRAGE",ENSG00000204305,Advanced glycosylation end-product specific receptor
AGFG1,chr2:227472152-227561217,"HRB, RAB, RIP",ENSG00000173744,ArfGAP with FG repeats 1
AGFG2,chr7:100539203-100568220,"HRBL, RABR",ENSG00000106351,ArfGAP with FG repeats 2
AGGF1,chr5:77029251-77065234,"FLJ10283, GPATC7, GPATCH7, HSU84971, VG5Q",ENSG00000164252,Angiogenic factor with G-patch and FHA domains 1
AGK,chr7:141551278-141655244,"FLJ10842, MULK",ENSG00000006530,Acylglycerol kinase
AGL,chr1:99850361-99924023,GDE,ENSG00000162688,"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
AGMAT,chr1:15571699-15585051,FLJ23384,ENSG00000116771,Agmatinase
AGMO,chr7:15200317-15562015,"FLJ16237, TMEM195",ENSG00000187546,Alkylglycerol monooxygenase
AGO1,chr1:35869808-35930532,"EIF2C1, hAGO1",ENSG00000092847,Argonaute RISC component 1
AGO2,chr8:140520156-140635633,"CASC7, EIF2C2, hAGO2, LINC00980, Q10",ENSG00000123908,Argonaute RISC catalytic component 2
AGO3,chr1:35930718-36072500,"EIF2C3, FLJ12765, hAGO3",ENSG00000126070,Argonaute RISC catalytic component 3
AGO4,chr1:35808016-35857890,"EIF2C4, FLJ20033, hAGO4, KIAA1567",ENSG00000134698,Argonaute RISC component 4
AGPAT1,chr6:32168212-32178096,"LPAAT-alpha, LPLAT1",ENSG00000204310,1-acylglycerol-3-phosphate O-acyltransferase 1
AGPAT2,chr9:136673143-136687457,"BSCL, LPAAT-beta, LPLAT2",ENSG00000169692,1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT3,chr21:43865223-43987592,"LPAAT-gamma, LPAAT3, LPLAT3",ENSG00000160216,1-acylglycerol-3-phosphate O-acyltransferase 3
AGPAT4,chr6:161129967-161274061,"dJ473J16.2, LPAAT-delta, LPAAT4, LPLAT4",ENSG00000026652,1-acylglycerol-3-phosphate O-acyltransferase 4
AGPAT5,chr8:6708642-6761503,"FLJ11210, LPAAT-e, LPAAT-epsilon, LPLAT5",ENSG00000155189,1-acylglycerol-3-phosphate O-acyltransferase 5
AGPS,chr2:177392746-177567024,"ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY",ENSG00000018510,Alkylglycerone phosphate synthase
AGR2,chr7:16791811-16833433,"AG2, HAG-2, PDIA17, XAG-2",ENSG00000106541,"Anterior gradient 2, protein disulphide isomerase family member"
AGR3,chr7:16859412-16881987,"BCMP11, hAG-3, HAG3, PDIA18",ENSG00000173467,"Anterior gradient 3, protein disulphide isomerase family member"
AGRN,chr1:1020120-1056118,AGRIN,ENSG00000188157,Agrin
AGRP,chr16:67482571-67483547,"Agrt, ART, ASIP2",ENSG00000159723,Agouti related neuropeptide
